id;ville_depart;ville_arrivee;date_depart;date_arrivee;heure_depart;heure_arrivee;minute_depart;minute_arrivee;prix_par_place;nbre_place_disponible;statut
1;parce que bien que loin;cuicui quant à combien;2025-05-18;2025-05-19;en outre de;avant-hier présidence;athlète actionnaire brusque;gens;12204.68;8039;ANNULE
2;venger envers clac;quoique avex;2025-05-18;2025-05-18;au moyen de prou;du fait que creuser brusque;sur derechef paf;apprivoiser antique considérable;8395.64;8343;COMPLET
3;drôlement corps enseignant;membre à vie secours à même;2025-05-18;2025-05-18;rapide;remplir hors antagoniste;aussitôt que;vu que pendant en decà de;9538.77;15009;ANNULE
4;de sorte que autour;en plus de accomplir direction;2025-05-18;2025-05-19;lors de;délivrer tout;du fait que parce que;plouf;3582.87;28424;COMPLET
5;pourvu que;porte-parole ah au-dessus;2025-05-19;2025-05-18;fonctionner;chez;grâce à habiller;alors police près;8796.31;6789;COMPLET
6;raisonner;pschitt également;2025-05-19;2025-05-18;extatique police tendre;après que fonctionnaire indiquer;ouf pendant que orange;ainsi si désormais;23859.82;25607;ANNULE
7;adversaire déjà presque;critiquer fort vanter;2025-05-18;2025-05-18;biathlète;de crainte que au-dessus;ouf;sous;20685.06;15189;COMPLET
8;habiter gens;mettre à partir de tant que;2025-05-19;2025-05-18;suivant;doucement actionnaire négliger;tard;de manière à ce que à l'instar de avant;25162.64;22325;ANNULE
9;au-devant rapide ouin;afin que après-demain lectorat;2025-05-19;2025-05-18;broum broum;terriblement;gai contre extatique;gratis orange complètement;15443.23;13140;COMPLET
10;rechercher;conseil municipal comparer;2025-05-19;2025-05-19;d'entre dans la mesure où;conseil municipal jusqu’à ce que d’autant que;bientôt adorable passablement;pff longtemps;10120.97;20711;ANNULE
