id;marque;modele;annee;carte_grise;immatriculation;nb_places;couleur;photo;actif
1;à même;tandis que ha ha;lectorat au-devant;à l'égard de par rapport à à condition que;au point que propre;23823;par partenaire;en dehors de illustrer;assurément
2;délégation;vroum équiper;sans que;tant que défaire recourir;terne gai sage;14639;chut afin de reproduire;insolite retirer en faveur de;avant que totalement parce que
3;empêcher;trop peu quand parce que;bè;dominer ronron avare;ouah drelin;3239;débarquer;ouf;plic fidèle concernant
4;rendre;diablement éloigner agiter;remonter en dépit de;entretenir ouah;jusqu’à ce que administration;14335;outre tant que;extra électorat mater;oui à condition que naguère
5;délégation au lieu de;parcourir percer retenir;même si splendide régner;administration;quelquefois;26836;dans coac coac;bof secouriste;prévenir gestionnaire
6;électorat;éloigner;téméraire récupérer;pour que toc-toc;de manière à ce que athlète devant;26493;à l'insu de bientôt;vroum;tsoin-tsoin vouh auparavant
7;membre de l’équipe;sauf;conseil municipal dehors;minuscule;exagérer incliner parce que;13395;jeune enfant;membre du personnel recourir;étant donné que grâce à bzzz
8;outre espiègle;pauvre;mélancolique raide;produire splendide;du moment que magenta;3173;bof;rédaction même davantage;craindre critiquer
9;auprès de;a après-demain;ouah patientèle;horrible;compter de peur que simple;1312;quand conserver;attarder au dépens de population du Québec;membre à vie
10;guide;population du Québec quoique;par suite de;équipe sans doute pauvre;conseil municipal;3600;jusqu’à ce que;cuicui déclarer fidèle;embrasser nager
